iter	Passed	Remaining
422	748	1020
423	749	1018
424	751	1017
425	753	1015
426	754	1012
427	756	1010
428	757	1008
429	758	1005
430	760	1003
431	761	1001
432	763	999
433	764	996
434	765	994
435	767	993
436	769	990
437	770	988
438	772	986
439	773	984
440	774	982
441	776	979
442	777	977
443	778	975
444	780	973
445	781	971
446	783	969
447	784	967
448	786	964
449	787	962
450	789	960
451	790	958
452	791	956
453	793	954
454	794	952
455	796	950
456	798	948
457	800	946
458	801	944
459	803	942
460	804	940
461	805	938
462	807	936
463	809	934
464	810	932
465	812	931
466	814	929
467	815	927
468	817	925
469	818	923
470	819	920
471	821	918
472	822	916
473	824	914
474	825	912
475	827	911
476	829	909
477	830	907
478	832	905
479	833	902
480	834	900
481	836	898
482	837	896
483	838	894
484	840	892
485	842	890
486	843	889
487	845	887
488	847	885
489	848	883
490	850	881
491	852	879
492	853	878
493	855	876
494	857	875
495	859	873
496	861	871
497	862	869
498	864	867
499	865	865
500	867	863
501	868	861
502	869	859
503	871	857
504	873	855
505	874	853
506	875	851
507	877	849
508	878	847
509	879	845
510	881	843
511	882	841
512	884	839
513	885	837
514	887	835
515	888	833
516	890	831
517	891	829
518	893	827
519	894	826
520	896	824
521	898	822
522	899	820
523	901	818
524	903	817
525	904	815
526	906	813
527	907	811
528	909	809
529	911	808
530	912	806
531	914	804
532	915	802
533	918	801
534	919	799
535	921	797
536	922	795
537	924	793
538	925	791
539	926	789
540	928	787
541	929	785
542	931	783
543	933	782
544	935	780
545	937	779
546	938	777
547	939	775
548	941	773
549	942	771
550	944	769
551	946	767
552	947	766
553	949	764
554	951	762
555	952	760
556	954	758
557	955	756
558	956	754
559	958	752
560	959	750
561	961	749
562	962	747
563	964	745
564	966	744
565	967	742
566	969	740
567	970	738
568	972	736
569	973	734
570	975	732
571	976	730
572	978	729
573	980	727
574	981	725
575	983	723
576	984	721
577	985	719
578	987	718
579	989	716
580	990	714
581	993	713
582	994	711
583	996	709
584	997	707
585	999	705
586	1000	704
587	1002	702
588	1003	700
589	1005	698
590	1006	696
591	1008	695
592	1010	693
593	1011	691
594	1012	689
595	1014	687
596	1016	685
597	1017	684
598	1019	682
599	1020	680
600	1023	679
601	1024	677
602	1026	675
603	1028	674
604	1029	672
605	1031	670
606	1032	668
607	1033	666
608	1035	664
609	1036	662
610	1038	661
611	1040	659
612	1042	657
613	1043	655
614	1044	654
615	1046	652
616	1048	650
617	1049	648
618	1051	647
619	1053	645
620	1054	643
621	1056	641
622	1057	640
623	1059	638
624	1060	636
625	1062	634
626	1063	632
627	1065	630
628	1066	629
629	1068	627
630	1069	625
631	1071	623
632	1072	622
633	1074	620
634	1076	618
635	1077	616
636	1078	614
637	1080	613
638	1081	611
639	1083	609
640	1085	607
641	1086	606
642	1088	604
643	1089	602
644	1091	600
645	1092	598
646	1094	597
647	1095	595
648	1097	593
649	1099	591
650	1100	590
651	1102	588
652	1103	586
653	1104	584
654	1106	582
655	1108	581
656	1109	579
657	1110	577
658	1112	575
659	1114	573
660	1115	572
661	1116	570
662	1118	568
663	1119	566
664	1121	564
665	1122	563
666	1124	561
667	1125	559
668	1127	557
669	1128	555
670	1130	554
671	1131	552
672	1133	550
673	1134	548
674	1136	547
675	1137	545
676	1139	543
677	1140	541
678	1142	540
679	1144	538
680	1145	536
681	1146	534
682	1148	533
683	1149	531
684	1151	529
685	1152	527
686	1154	525
687	1155	524
688	1157	522
689	1158	520
690	1160	518
691	1161	517
692	1163	515
693	1165	513
694	1166	511
695	1167	510
696	1169	508
697	1171	506
698	1172	505
699	1174	503
700	1176	501
701	1177	500
702	1179	498
703	1180	496
704	1182	494
705	1183	492
706	1185	491
707	1186	489
708	1188	487
709	1190	486
710	1191	484
711	1193	482
712	1194	480
713	1196	479
714	1197	477
715	1199	475
716	1200	473
717	1201	472
718	1203	470
719	1205	468
720	1207	467
721	1208	465
722	1210	463
723	1211	461
724	1212	460
725	1214	458
726	1215	456
727	1217	454
728	1219	453
729	1220	451
730	1222	449
731	1223	447
732	1224	446
733	1226	444
734	1227	442
735	1229	440
736	1230	439
737	1232	437
738	1234	435
739	1235	434
740	1237	432
741	1238	430
742	1239	428
743	1240	426
744	1242	425
745	1243	423
746	1244	421
747	1245	419
748	1247	417
749	1248	416
750	1250	414
751	1251	412
752	1253	411
753	1254	409
754	1255	407
755	1257	405
756	1258	403
757	1259	402
758	1261	400
759	1263	398
760	1264	397
761	1266	395
762	1267	393
763	1268	391
764	1269	390
765	1271	388
766	1272	386
767	1273	384
768	1274	382
769	1276	381
770	1277	379
771	1279	377
772	1281	376
773	1282	374
774	1283	372
775	1284	370
776	1285	369
777	1287	367
778	1288	365
779	1289	363
780	1291	362
781	1292	360
782	1294	358
783	1295	356
784	1296	355
785	1298	353
786	1299	351
787	1300	349
788	1301	348
789	1303	346
790	1304	344
791	1305	342
792	1307	341
793	1308	339
794	1310	337
795	1311	336
796	1312	334
797	1313	332
798	1315	330
799	1316	329
800	1317	327
801	1318	325
802	1320	323
803	1321	322
804	1322	320
805	1324	318
806	1325	317
807	1327	315
808	1328	313
809	1329	311
810	1331	310
811	1332	308
812	1334	306
813	1335	305
814	1336	303
815	1338	301
816	1339	300
817	1341	298
818	1342	296
819	1343	294
820	1344	293
821	1346	291
822	1347	289
823	1348	288
824	1349	286
825	1351	284
826	1352	282
827	1354	281
828	1355	279
829	1357	277
830	1358	276
831	1359	274
832	1361	272
833	1362	271
834	1363	269
835	1364	267
836	1366	266
837	1367	264
838	1369	262
839	1370	261
840	1371	259
841	1372	257
842	1374	255
843	1375	254
844	1377	252
845	1378	250
846	1379	249
847	1380	247
848	1381	245
849	1382	244
850	1384	242
851	1386	240
852	1387	239
853	1388	237
854	1390	235
855	1391	234
856	1392	232
857	1393	230
858	1394	228
859	1395	227
860	1397	225
861	1398	223
862	1400	222
863	1401	220
864	1402	218
865	1403	217
866	1404	215
867	1405	213
868	1406	212
869	1407	210
870	1409	208
871	1410	206
872	1411	205
873	1412	203
874	1413	201
875	1414	200
876	1415	198
877	1416	196
878	1417	195
879	1418	193
880	1420	191
881	1421	190
882	1422	188
883	1423	186
884	1424	185
885	1425	183
886	1427	181
887	1428	180
888	1429	178
889	1430	176
890	1432	175
891	1433	173
892	1434	171
893	1435	170
894	1436	168
895	1437	166
896	1439	165
897	1440	163
898	1441	161
899	1442	160
900	1444	158
901	1445	157
902	1446	155
903	1447	153
904	1448	152
905	1450	150
906	1451	148
907	1452	147
908	1453	145
909	1454	143
910	1456	142
911	1457	140
912	1458	138
913	1460	137
914	1462	135
915	1463	134
916	1464	132
917	1466	130
918	1467	129
919	1468	127
920	1469	126
921	1470	124
922	1471	122
923	1472	121
924	1474	119
925	1475	117
926	1476	116
927	1477	114
928	1478	113
929	1480	111
930	1481	109
931	1482	108
932	1483	106
933	1484	104
934	1485	103
935	1486	101
936	1488	100
937	1489	98
938	1490	96
939	1491	95
940	1492	93
941	1493	91
942	1495	90
943	1496	88
944	1497	87
945	1498	85
946	1499	83
947	1500	82
948	1501	80
949	1503	79
950	1504	77
951	1505	75
952	1507	74
953	1508	72
954	1509	71
955	1510	69
956	1511	67
957	1513	66
958	1514	64
959	1515	63
960	1516	61
961	1518	59
962	1519	58
963	1520	56
964	1522	55
965	1523	53
966	1524	52
967	1525	50
968	1526	48
969	1527	47
970	1529	45
971	1530	44
972	1531	42
973	1533	40
974	1535	39
975	1536	37
976	1537	36
977	1538	34
978	1539	33
979	1541	31
980	1542	29
981	1543	28
982	1545	26
983	1546	25
984	1547	23
985	1549	21
986	1550	20
987	1551	18
988	1552	17
989	1553	15
990	1554	14
991	1556	12
992	1557	10
993	1558	9
994	1559	7
995	1560	6
996	1561	4
997	1563	3
998	1564	1
999	1566	0
